name	group
Sample1244	HC
Sample1246	HC
Sample1249	HC
Sample125	HC
Sample1250	HC
Sample1253	HC
Sample1254	HC
Sample1255	HC
Sample1256	HC
Sample1257	HC
Sample1258	HC
Sample1260	HC
Sample1261	HC
Sample1262	HC
Sample1264	HC
Sample1265	HC
Sample1266	HC
Sample1267	HC
Sample1268	HC
Sample127	HC
Sample1270	HC
Sample1271	HC
Sample1272	HC
Sample1273	HC
Sample1274	HC
Sample1275	HC
Sample1276	HC
Sample1277	HC
Sample1278	HC
Sample1279	HC
Sample128	HC
Sample1280	HC
Sample1281	HC
Sample1283	HC
Sample1284	HC
Sample1288	HC
Sample129	HC
Sample1290	HC
Sample1292	HC
Sample1294	HC
Sample1296	HC
Sample1297	HC
Sample1298	HC
Sample13	HC
Sample130	HC
Sample1301	HC
Sample1302	HC
Sample1303	HC
Sample1304	HC
Sample1305	HC
Sample1306	HC
Sample1308	HC
Sample1309	HC
Sample1310	HC
Sample1312	HC
Sample1314	HC
Sample1315	HC
Sample1316	HC
Sample1317	HC
Sample1319	HC
Sample132	HC
Sample1320	HC
Sample1323	HC
Sample1325	HC
Sample1327	HC
Sample1328	HC
Sample133	HC
Sample1331	HC
Sample1332	HC
Sample1334	HC
Sample1335	HC
Sample1336	HC
Sample1337	HC
Sample1339	HC
Sample1340	HC
Sample1341	HC
Sample1344	HC
Sample1345	HC
Sample1346	HC
Sample1348	HC
Sample1349	HC
Sample1350	HC
Sample1351	HC
Sample1352	HC
Sample1355	HC
Sample1357	HC
Sample1358	HC
Sample136	HC
Sample1360	HC
Sample1363	HC
Sample1364	HC
Sample1365	HC
Sample1367	HC
Sample1368	HC
Sample1374	HC
Sample1375	HC
Sample1376	HC
Sample138	HC
Sample1380	HC
Sample1382	HC
Sample1385	HC
Sample1388	HC
Sample1390	HC
Sample1391	HC
Sample1395	HC
Sample1396	HC
Sample1397	HC
Sample14	HC
Sample1400	HC
Sample1402	HC
Sample1404	HC
Sample1407	HC
Sample1410	HC
Sample1415	HC
Sample1417	HC
Sample142	HC
Sample1420	HC
Sample1424	HC
Sample1428	HC
Sample1429	HC
Sample143	HC
Sample1430	HC
Sample1431	HC
Sample1432	HC
Sample1435	HC
Sample1438	HC
Sample1439	HC
Sample144	HC
Sample1440	HC
Sample1441	HC
Sample1442	HC
Sample1443	HC
Sample1444	HC
Sample1446	HC
Sample1448	HC
Sample1449	HC
Sample145	HC
Sample1450	HC
Sample1453	HC
Sample146	HC
Sample1464	HC
Sample1473	HC
Sample1474	HC
Sample1475	HC
Sample1476	HC
Sample1477	HC
Sample1478	HC
Sample1479	HC
Sample1480	HC
Sample1481	HC
Sample1482	HC
Sample1483	HC
Sample1484	HC
Sample1485	HC
Sample1486	HC
Sample1487	HC
Sample1488	HC
Sample149	HC
Sample1492	HC
Sample1496	HC
Sample15	HC
Sample1501	HC
Sample1502	HC
Sample1503	HC
Sample1504	HC
Sample1505	HC
Sample1506	HC
Sample1507	HC
Sample1508	HC
Sample1509	HC
Sample151	HC
Sample1510	HC
Sample1511	HC
Sample1512	HC
Sample1513	HC
Sample1514	HC
Sample1515	HC
Sample1516	HC
Sample1517	HC
Sample1518	HC
Sample1522	HC
Sample153	HC
Sample1533	HC
Sample1539	HC
Sample154	HC
Sample1540	HC
Sample1541	HC
Sample1569	HC
Sample157	HC
Sample1570	HC
Sample1571	HC
Sample1572	HC
Sample1573	HC
Sample1574	HC
Sample1575	HC
Sample1577	HC
Sample1578	HC
Sample1579	HC
Sample158	HC
Sample1580	HC
Sample1581	HC
Sample1582	HC
Sample1583	HC
Sample1584	HC
Sample159	HC
Sample1590	HC
Sample1591	HC
Sample1592	HC
Sample1593	HC
Sample1594	HC
Sample1595	HC
Sample1600	HC
Sample161	HC
Sample1611	HC
Sample1615	HC
Sample1616	HC
Sample1617	HC
Sample1618	HC
Sample1619	HC
Sample162	HC
Sample1620	HC
Sample1621	HC
Sample1622	HC
Sample1623	HC
Sample164	HC
Sample165	HC
Sample166	HC
Sample168	HC
Sample169	HC
Sample17	HC
Sample170	HC
Sample173	HC
Sample174	HC
Sample175	HC
Sample176	HC
Sample177	HC
Sample179	HC
Sample180	HC
Sample182	HC
Sample184	HC
Sample187	HC
Sample188	HC
Sample19	HC
Sample191	HC
Sample192	HC
Sample193	HC
Sample194	HC
Sample195	HC
Sample196	HC
Sample198	HC
Sample199	HC
Sample20	HC
Sample200	HC
Sample202	HC
Sample203	HC
Sample204	HC
Sample205	HC
Sample206	HC
Sample208	HC
Sample209	HC
Sample21	HC
Sample210	HC
Sample211	HC
Sample212	HC
Sample213	HC
Sample214	HC
Sample215	HC
Sample216	HC
Sample217	HC
Sample218	HC
Sample219	HC
Sample22	HC
Sample221	HC
Sample222	HC
Sample226	HC
Sample228	HC
Sample230	HC
Sample232	HC
Sample234	HC
Sample235	HC
Sample236	HC
Sample239	HC
Sample24	HC
Sample240	HC
Sample241	HC
Sample242	HC
Sample243	HC
Sample244	HC
Sample246	HC
Sample247	HC
Sample248	HC
Sample250	HC
Sample252	HC
Sample253	HC
Sample254	HC
Sample255	HC
Sample257	HC
Sample258	HC
Sample26	HC
Sample261	HC
Sample263	HC
Sample265	HC
Sample266	HC
Sample269	HC
Sample270	HC
Sample272	HC
Sample273	HC
Sample274	HC
Sample275	HC
Sample277	HC
Sample278	HC
Sample279	HC
Sample282	HC
Sample283	HC
Sample284	HC
Sample286	HC
Sample287	HC
Sample288	HC
Sample289	HC
Sample290	HC
Sample293	HC
Sample295	HC
Sample296	HC
Sample298	HC
Sample3	HC
Sample30	HC
Sample301	HC
Sample302	HC
Sample303	HC
Sample304	HC
Sample305	HC
Sample306	HC
Sample307	HC
Sample309	HC
Sample310	HC
Sample311	HC
Sample312	HC
Sample32	HC
Sample321	HC
Sample324	HC
Sample325	HC
Sample326	HC
Sample327	HC
Sample328	HC
Sample329	HC
Sample33	HC
Sample330	HC
Sample331	HC
Sample332	HC
Sample333	HC
Sample334	HC
Sample335	HC
Sample336	HC
Sample337	HC
Sample338	HC
Sample34	HC
Sample342	HC
Sample35	HC
Sample354	HC
Sample37	HC
Sample38	HC
Sample39	HC
Sample4	HC
Sample419	HC
Sample420	HC
Sample421	HC
Sample422	HC
Sample423	HC
Sample424	HC
Sample425	HC
Sample426	HC
Sample427	HC
Sample428	HC
Sample429	HC
Sample430	HC
Sample431	HC
Sample432	HC
Sample433	HC
Sample434	HC
